as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Artisan Emerging Markets Debt Opportunities Fund Advisor,04314H360,APDOX,12/29/2025,12/30/2025,12/30/2025,0.087015,,
2025-12-31,Artisan Emerging Markets Debt Opportunities Fund Institutional,04314H352,APHOX,12/29/2025,12/30/2025,12/30/2025,0.087428,,
2025-12-31,Artisan Emerging Markets Debt Opportunities Fund Investor,04314H378,APFOX,12/29/2025,12/30/2025,12/30/2025,0.085983,,
2025-12-31,Artisan Focus Fund Advisor,04314H519,APDTX,12/09/2025,12/10/2025,12/10/2025,,1.011437,
2025-12-31,Artisan Focus Fund Institutional,04314H493,APHTX,12/09/2025,12/10/2025,12/10/2025,,1.011437,
2025-12-31,Artisan Focus Fund Investor,04314H543,ARTTX,12/09/2025,12/10/2025,12/10/2025,,1.011437,
2025-12-31,Artisan Global Discovery Fund Advisor,04314H444,APDDX,12/09/2025,12/10/2025,12/10/2025,,0.244099,3.612282
2025-12-31,Artisan Global Discovery Fund Institutional,04314H527,APHDX,12/09/2025,12/10/2025,12/10/2025,,0.244099,3.612282
2025-12-31,Artisan Global Discovery Fund Investor,04314H535,APFDX,12/09/2025,12/10/2025,12/10/2025,,0.244099,3.612282
2025-12-31,Artisan Global Equity Fund Advisor,04314H428,APDHX,12/09/2025,12/10/2025,12/10/2025,0.383688,2.410851,2.478793
2025-12-31,Artisan Global Equity Fund Institutional,04314H584,APHHX,12/09/2025,12/10/2025,12/10/2025,0.399085,2.410851,2.478793
2025-12-31,Artisan Global Equity Fund Investor,04314H816,ARTHX,12/09/2025,12/10/2025,12/10/2025,0.346655,2.410851,2.478793
2025-12-31,Artisan Global Opportunities Fund Advisor,04314H691,APDRX,12/09/2025,12/10/2025,12/10/2025,,,1.192727
2025-12-31,Artisan Global Opportunities Fund Institutional,04314H782,APHRX,12/09/2025,12/10/2025,12/10/2025,,,1.192727
2025-12-31,Artisan Global Opportunities Fund Investor,04314H824,ARTRX,12/09/2025,12/10/2025,12/10/2025,,,1.192727
2025-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,12/09/2025,12/10/2025,12/10/2025,,0.008005,
2025-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,12/29/2025,12/30/2025,12/30/2025,0.053211,,
2025-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,12/09/2025,12/10/2025,12/10/2025,,0.008005,
2025-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,12/29/2025,12/30/2025,12/30/2025,0.053563,,
2025-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,12/09/2025,12/10/2025,12/10/2025,,0.008005,
2025-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,12/29/2025,12/30/2025,12/30/2025,0.052318,,
2025-12-31,Artisan Global Value Fund Advisor,04314H683,APDGX,12/09/2025,12/10/2025,12/10/2025,0.289162,0.178483,0.863155
2025-12-31,Artisan Global Value Fund Institutional,04314H741,APHGX,12/09/2025,12/10/2025,12/10/2025,0.313070,0.178483,0.863155
2025-12-31,Artisan Global Value Fund Investor,04314H840,ARTGX,12/09/2025,12/10/2025,12/10/2025,0.249615,0.178483,0.863155
2025-12-31,Artisan International Explorer Fund Advisor,04314H253,ARDBX,12/09/2025,12/10/2025,12/10/2025,0.261184,0.137451,0.562003
2025-12-31,Artisan International Explorer Fund Institutional,04314H246,ARHBX,12/09/2025,12/10/2025,12/10/2025,0.270779,0.137451,0.562003
2025-12-31,Artisan International Fund Investor,04314H204,ARTIX,12/09/2025,12/10/2025,12/10/2025,0.596506,1.111827,5.017255
2025-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,12/09/2025,12/10/2025,12/10/2025,0.116858,0.137000,0.857628
2025-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,12/09/2025,12/10/2025,12/10/2025,0.132636,0.137000,0.857628
