as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Artisan Global Value Fund Advisor,04314H683,APDGX,11/21/2022,11/22/2022,11/22/2022,0.080899,,0.603214
2022-12-31,Artisan International Fund Advisor,04314H675,APDIX,11/21/2022,11/22/2022,11/22/2022,0.3471,,0.306132
2022-12-31,Artisan International Value Fund Advisor,04314H667,APDKX,11/14/2022,11/15/2022,11/15/2022,0.076712,0.00381,0.634807
2022-12-31,Artisan Value Fund Advisor,04314H634,APDLX,11/21/2022,11/22/2022,11/22/2022,0.05128,,2.045614
2022-12-31,Artisan Select Equity Fund Advisor,04314H469,APDNX,11/21/2022,11/22/2022,11/22/2022,0.020173,0.140992,0.145263
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Advisor,04314H360,APDOX,11/21/2022,11/22/2022,11/22/2022,0.095606,0.075473,0.150879
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Advisor,04314H360,APDOX,12/28/2022,12/29/2022,12/29/2022,0.049974,,
2022-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,11/21/2022,11/22/2022,11/22/2022,0.389765,0.106181,0.117625
2022-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,12/28/2022,12/29/2022,12/29/2022,0.039848,,
2022-12-31,Artisan Mid Cap Value Fund Advisor,04314H642,APDQX,11/21/2022,11/22/2022,11/22/2022,0.101474,,3.266796
2022-12-31,Artisan Value Income Fund Advisor,04314H295,APDWX,12/28/2022,12/29/2022,12/29/2022,0.064097,,
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Investor,04314H378,APFOX,11/21/2022,11/22/2022,11/22/2022,0.095606,0.075473,0.150879
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Investor,04314H378,APFOX,12/28/2022,12/29/2022,12/29/2022,0.04918,,
2022-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,11/21/2022,11/22/2022,11/22/2022,0.389765,0.106181,0.117625
2022-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,12/28/2022,12/29/2022,12/29/2022,0.039079,,
2022-12-31,Artisan Value Income Fund Investor,04314H311,APFWX,12/28/2022,12/29/2022,12/29/2022,0.065461,,
2022-12-31,Artisan Global Value Fund Institutional,04314H741,APHGX,11/21/2022,11/22/2022,11/22/2022,0.100512,,0.603214
2022-12-31,Artisan International Fund Institutional,04314H402,APHIX,11/21/2022,11/22/2022,11/22/2022,0.37615,,0.306132
2022-12-31,Artisan International Value Fund Institutional,04314H857,APHKX,11/14/2022,11/15/2022,11/15/2022,0.077871,0.00381,0.634807
2022-12-31,Artisan Value Fund Institutional,04314H790,APHLX,11/21/2022,11/22/2022,11/22/2022,0.057787,,2.045614
2022-12-31,Artisan Select Equity Fund Institutional,04314H451,APHNX,11/21/2022,11/22/2022,11/22/2022,0.026056,0.140992,0.145263
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Institutional,04314H352,APHOX,11/21/2022,11/22/2022,11/22/2022,0.095606,0.075473,0.150879
2022-12-31,Artisan Emerging Markets Debt Opportunities Fund Institutional,04314H352,APHOX,12/28/2022,12/29/2022,12/29/2022,0.050354,,
2022-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,11/21/2022,11/22/2022,11/22/2022,0.389765,0.106181,0.117625
2022-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,12/28/2022,12/29/2022,12/29/2022,0.04023,,
2022-12-31,Artisan Mid Cap Value Fund Institutional,04314H774,APHQX,11/21/2022,11/22/2022,11/22/2022,0.114255,,3.266796
2022-12-31,Artisan Value Income Fund Institutional,04314H287,APHWX,12/28/2022,12/29/2022,12/29/2022,0.064808,,
2022-12-31,Artisan Global Value Fund Investor,04314H840,ARTGX,11/21/2022,11/22/2022,11/22/2022,0.051075,,0.603214
2022-12-31,Artisan International Fund Investor,04314H204,ARTIX,11/21/2022,11/22/2022,11/22/2022,0.30207,,0.306132
2022-12-31,Artisan International Value Fund Investor,04314H881,ARTKX,11/14/2022,11/15/2022,11/15/2022,0.076502,0.00381,0.634807
2022-12-31,Artisan Value Fund Investor,04314H873,ARTLX,11/21/2022,11/22/2022,11/22/2022,0.02534,,2.045614
2022-12-31,Artisan Select Equity Fund Investor,04314H477,ARTNX,11/21/2022,11/22/2022,11/22/2022,0.006676,0.140992,0.145263
2022-12-31,Artisan Mid Cap Value Fund Investor,04314H709,ARTQX,11/21/2022,11/22/2022,11/22/2022,0.049965,,3.266796
