as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2023-12-31,Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,12/19/2023,12/20/2023,12/21/2023,0.238800,,0.888000
2023-12-31,Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,12/19/2023,12/20/2023,12/21/2023,0.250700,,0.888001
2023-12-31,Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,12/19/2023,12/20/2023,12/21/2023,0.251900,,0.888197
2023-12-31,Vanguard Value Index Fund Investor Shares,922908405,VIVAX,12/19/2023,12/20/2023,12/21/2023,0.384000,,
2023-12-31,Vanguard Value Index Fund Admiral Shares,922908678,VVIAX,12/19/2023,12/20/2023,12/21/2023,0.400800,,
2023-12-31,Vanguard Value Index Fund Institutional Shares,922908850,VIVIX,12/19/2023,12/20/2023,12/21/2023,0.402100,,
2023-12-31,Vanguard Value ETF,922908744,VTV,12/22/2023,12/21/2023,12/27/2023,1.030800,,
2023-12-31,Vanguard Growth Index Fund Investor Shares,922908504,VIGRX,12/19/2023,12/20/2023,12/21/2023,0.253000,,
2023-12-31,Vanguard Growth Index Fund Admiral Shares,922908660,VIGAX,12/19/2023,12/20/2023,12/21/2023,0.297300,,
2023-12-31,Vanguard Growth Index Fund Institutional Shares,922908868,VIGIX,12/19/2023,12/20/2023,12/21/2023,0.301000,,
2023-12-31,Vanguard Growth ETF,922908736,VUG,12/22/2023,12/21/2023,12/27/2023,0.584700,,
2023-12-31,Vanguard Wellington Fund Investor Shares,921935102,VWELX,12/14/2023,12/15/2023,12/18/2023,0.276100,0.004052,1.546737
2023-12-31,Vanguard Wellington Fund Admiral Shares,921935201,VWENX,12/14/2023,12/15/2023,12/18/2023,0.490500,0.006997,2.671041
2023-12-31,Vanguard Windsor Fund Investor Shares,922018106,VWNDX,12/18/2023,12/19/2023,12/20/2023,0.244800,0.511735,0.850453
2023-12-31,Vanguard Windsor Fund Admiral Shares,922018403,VWNEX,12/18/2023,12/19/2023,12/20/2023,0.862000,1.726149,2.868693
2023-12-31,Vanguard U.S. Growth Fund Investor Shares,921910105,VWUSX,12/15/2023,12/18/2023,12/19/2023,0.158700,,
2023-12-31,Vanguard U.S. Growth Fund Admiral Shares,921910600,VWUAX,12/15/2023,12/18/2023,12/19/2023,0.539100,,
2023-12-31,Vanguard Explorer Fund Investor Shares,921926101,VEXPX,12/15/2023,12/18/2023,12/19/2023,0.579000,0.104869,0.196919
2023-12-31,Vanguard Explorer Fund Admiral Shares,921926200,VEXRX,12/15/2023,12/18/2023,12/19/2023,0.640300,0.097584,0.183240
