as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2021-12-31,Vanguard Developed Markets Index Fund Investor Shares,92206J107,VDVIX,12/16/2021,12/17/2021,12/20/2021,0.187400,,
2021-12-31,Vanguard Developed Markets Index Fund Institutional Plus Shares,92206J206,VDIPX,12/16/2021,12/17/2021,12/20/2021,0.387700,,
2021-12-31,Vanguard Target Retirement 2025 Fund,92202E409,VTTVX,12/28/2021,12/29/2021,12/30/2021,0.439800,0.004800,2.866100
2021-12-31,Vanguard Target Retirement 2035 Fund,92202E508,VTTHX,12/28/2021,12/29/2021,12/30/2021,0.559000,0.012600,4.081300
2021-12-31,Vanguard Target Retirement 2045 Fund,92202E607,VTIVX,12/28/2021,12/29/2021,12/30/2021,0.629300,0.088600,3.652900
2021-12-31,Vanguard Target Retirement Income Fund,92202E102,VTINX,12/28/2021,12/29/2021,12/30/2021,0.212500,0.003800,0.870000
2021-12-31,Vanguard Market Neutral Fund Investor Shares,92205G104,VMNFX,12/22/2021,12/23/2021,12/27/2021,0.017200,,
2021-12-31,Vanguard Market Neutral Fund Institutional Shares,92205G203,VMNIX,12/22/2021,12/23/2021,12/27/2021,0.021600,,
2021-12-31,Vanguard Target Retirement 2020 Fund,92202E805,VTWNX,12/28/2021,12/29/2021,12/30/2021,0.788500,0.007800,5.273600
2021-12-31,Vanguard Target Retirement 2030 Fund,92202E888,VTHRX,12/28/2021,12/29/2021,12/30/2021,0.822200,0.002800,5.922500
2021-12-31,Vanguard Target Retirement 2040 Fund,92202E870,VFORX,12/28/2021,12/29/2021,12/30/2021,1.003300,0.133200,7.555900
2021-12-31,Vanguard Target Retirement 2050 Fund,92202E862,VFIFX,12/28/2021,12/29/2021,12/30/2021,1.026000,0.160600,4.832500
2021-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/2/2021,12/1/2021,12/6/2021,0.014200,,
2021-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/27/2021,12/23/2021,12/29/2021,0.014100,0.005950,0.001860
2021-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/2/2021,12/1/2021,12/6/2021,0.168700,,
2021-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/27/2021,12/23/2021,12/29/2021,0.177200,0.011970,
2021-12-31,Vanguard Total International Bond Index Fund Investor Shares,92203J100,VTIBX,12/21/2021,12/22/2021,12/23/2021,0.250300,0.001200,0.072200
2021-12-31,Vanguard Total International Bond Index Fund Institutional Shares,92203J209,VTIFX,12/21/2021,12/22/2021,12/23/2021,0.752200,0.003500,0.216700
2021-12-31,Vanguard Total International Bond Index Fund Admiral Shares,92203J308,VTABX,12/21/2021,12/22/2021,12/23/2021,0.500800,0.002300,0.144400
2021-12-31,Vanguard Target Retirement 2055 Fund,92202E847,VFFVX,12/28/2021,12/29/2021,12/30/2021,1.098600,0.187900,3.952100
2021-12-31,Vanguard Short-Term Treasury Index Fund Institutional Shares,92206C201,VSBIX,12/21/2021,12/22/2021,12/23/2021,0.006600,0.009600,0.069100
2021-12-31,Vanguard Short-Term Treasury Index Fund Admiral Shares,92206C300,VSBSX,12/21/2021,12/22/2021,12/23/2021,0.005000,0.007700,0.055000
2021-12-31,Vanguard Intermediate-Term Treasury Index Fund Institutional Shares,92206C805,VIIGX,12/21/2021,12/22/2021,12/23/2021,0.026200,,0.153500
2021-12-31,Vanguard Intermediate-Term Treasury Index Fund Admiral Shares,92206C888,VSIGX,12/21/2021,12/22/2021,12/23/2021,0.020800,,0.123700
