as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Vanguard Balanced Index Fund Investor Shares,921931101,VBINX,12/27/2024,12/30/2024,12/31/2024,0.248500,0.025873,1.298081
2024-12-31,Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,12/27/2024,12/30/2024,12/31/2024,0.263000,0.025872,1.298076
2024-12-31,Vanguard Balanced Index Fund Institutional Shares,921931309,VBAIX,12/27/2024,12/30/2024,12/31/2024,0.264400,0.025876,1.298267
2024-12-31,Vanguard Value Index Fund Investor Shares,922908405,VIVAX,12/20/2024,12/23/2024,12/24/2024,0.360900,,
2024-12-31,Vanguard Value Index Fund Admiral Shares,922908678,VVIAX,12/20/2024,12/23/2024,12/24/2024,0.380700,,
2024-12-31,Vanguard Value Index Fund Institutional Shares,922908850,VIVIX,12/20/2024,12/23/2024,12/24/2024,0.382400,,
2024-12-31,Vanguard Value ETF,922908744,VTV,12/23/2024,12/23/2024,12/26/2024,0.980200,,
2024-12-31,Vanguard Growth Index Fund Investor Shares,922908504,VIGRX,12/20/2024,12/23/2024,12/24/2024,0.211600,,
2024-12-31,Vanguard Growth Index Fund Admiral Shares,922908660,VIGAX,12/20/2024,12/23/2024,12/24/2024,0.270100,,
2024-12-31,Vanguard Growth Index Fund Institutional Shares,922908868,VIGIX,12/20/2024,12/23/2024,12/24/2024,0.275000,,
2024-12-31,Vanguard Growth ETF,922908736,VUG,12/23/2024,12/23/2024,12/26/2024,0.534400,,
2024-12-31,Vanguard Wellington Fund Investor Shares,921935102,VWELX,12/27/2024,12/30/2024,12/31/2024,0.261000,0.205761,3.431527
2024-12-31,Vanguard Wellington Fund Admiral Shares,921935201,VWENX,12/27/2024,12/30/2024,12/31/2024,0.468300,0.355296,5.925344
2024-12-31,Vanguard Windsor Fund Investor Shares,922018106,VWNDX,12/17/2024,12/18/2024,12/19/2024,0.225100,0.210675,1.947506
2024-12-31,Vanguard Windsor Fund Admiral Shares,922018403,VWNEX,12/17/2024,12/18/2024,12/19/2024,0.797600,0.710448,6.567474
2024-12-31,Vanguard U.S. Growth Fund Investor Shares,921910105,VWUSX,12/17/2024,12/18/2024,12/19/2024,0.140500,0.194478,2.948738
2024-12-31,Vanguard U.S. Growth Fund Admiral Shares,921910600,VWUAX,12/17/2024,12/18/2024,12/19/2024,0.552000,0.504263,7.645792
2024-12-31,Vanguard Explorer Fund Investor Shares,921926101,VEXPX,12/27/2024,12/30/2024,12/31/2024,0.486800,0.953336,6.036746
2024-12-31,Vanguard Explorer Fund Admiral Shares,921926200,VEXRX,12/27/2024,12/30/2024,12/31/2024,0.584300,0.887220,5.618085
