as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Vanguard Total International Bond II Index Fund Institutional Shares,92211J308,VTILX,12/21/2022,12/22/2022,12/23/2022,0.030400,,
2022-12-31,Vanguard Total International Bond II Index Fund Investor Shares,92211J100,VTIIX,12/21/2022,12/22/2022,12/23/2022,0.010000,,
2022-12-31,Vanguard Energy Index Fund Admiral Shares,92204A843,VENAX,12/13/2022,12/14/2022,12/15/2022,0.679900,,
2022-12-31,Vanguard Materials Index Fund Admiral Shares,92204A785,VMIAX,12/13/2022,12/14/2022,12/15/2022,0.482200,,
2022-12-31,Vanguard Industrials Index Fund Admiral Shares,92204A819,VINAX,12/13/2022,12/14/2022,12/15/2022,0.424900,,
2022-12-31,Vanguard Consumer Discretionary Index Fund Admiral Shares,92204A868,VCDAX,12/13/2022,12/14/2022,12/15/2022,0.342100,,
2022-12-31,Vanguard Consumer Staples Index Fund Admiral Shares,92204A850,VCSAX,12/13/2022,12/14/2022,12/15/2022,0.710900,,
2022-12-31,Vanguard Health Care Index Fund Admiral Shares,92204A827,VHCIX,12/13/2022,12/14/2022,12/15/2022,0.490000,,
2022-12-31,Vanguard Financials Index Fund Admiral Shares,92204A835,VFAIX,12/13/2022,12/14/2022,12/15/2022,0.309000,,
2022-12-31,Vanguard Information Technology Index Fund Admiral Shares,92204A793,VITAX,12/13/2022,12/14/2022,12/15/2022,0.446500,,
2022-12-31,Vanguard Communication Services Index Fund Admiral Shares,92204A777,VTCAX,12/13/2022,12/14/2022,12/15/2022,0.099500,,
2022-12-31,Vanguard Utilities Index Fund Admiral Shares,92204A769,VUIAX,12/13/2022,12/14/2022,12/15/2022,0.599600,,
2022-12-31,Vanguard Baillie Gifford Global Positive Impact Stock Fund,92205M408,VBPIX,12/15/2022,12/16/2022,12/19/2022,0.031200,,
