as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2023-12-31,Vanguard Developed Markets Index Fund Investor Shares,92206J107,VDVIX,12/14/2023,12/15/2023,12/18/2023,0.148800,,
2023-12-31,Vanguard Developed Markets Index Fund Institutional Plus Shares,92206J206,VDIPX,12/14/2023,12/15/2023,12/18/2023,0.307300,,
2023-12-31,Vanguard Target Retirement 2025 Fund,92202E409,VTTVX,12/26/2023,12/27/2023,12/28/2023,0.505100,,0.223323
2023-12-31,Vanguard Target Retirement 2035 Fund,92202E508,VTTHX,12/26/2023,12/27/2023,12/28/2023,0.548100,,
2023-12-31,Vanguard Target Retirement 2045 Fund,92202E607,VTIVX,12/26/2023,12/27/2023,12/28/2023,0.607500,,
2023-12-31,Vanguard Target Retirement Income Fund,92202E102,VTINX,12/26/2023,12/27/2023,12/28/2023,0.189200,0.011515,0.122848
2023-12-31,Vanguard Market Neutral Fund Investor Shares,92205G104,VMNFX,12/26/2023,12/27/2023,12/28/2023,0.672400,,
2023-12-31,Vanguard Market Neutral Fund Institutional Shares,92205G203,VMNIX,12/26/2023,12/27/2023,12/28/2023,0.675500,,
2023-12-31,Vanguard Target Retirement 2020 Fund,92202E805,VTWNX,12/26/2023,12/27/2023,12/28/2023,0.789600,,0.878170
2023-12-31,Vanguard Target Retirement 2030 Fund,92202E888,VTHRX,12/26/2023,12/27/2023,12/28/2023,0.919900,,
2023-12-31,Vanguard Target Retirement 2040 Fund,92202E870,VFORX,12/26/2023,12/27/2023,12/28/2023,0.936000,,
2023-12-31,Vanguard Target Retirement 2050 Fund,92202E862,VFIFX,12/26/2023,12/27/2023,12/28/2023,0.984400,,
2023-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/4/2023,12/1/2023,12/6/2023,0.205000,,
2023-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/26/2023,12/22/2023,12/28/2023,0.215000,,
2023-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/4/2023,12/1/2023,12/6/2023,0.253100,,
2023-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/26/2023,12/22/2023,12/28/2023,0.269300,,
2023-12-31,Vanguard Total International Bond Index Fund Admiral Shares,92203J308,VTABX,12/20/2023,12/21/2023,12/22/2023,0.543000,,
2023-12-31,Vanguard Total International Bond Index Fund Investor Shares,92203J100,VTIBX,12/20/2023,12/21/2023,12/22/2023,0.271500,,
2023-12-31,Vanguard Total International Bond Index Fund Institutional Shares,92203J209,VTIFX,12/20/2023,12/21/2023,12/22/2023,0.815500,,
2023-12-31,Vanguard Target Retirement 2055 Fund,92202E847,VFFVX,12/26/2023,12/27/2023,12/28/2023,1.083400,,
2023-12-31,Vanguard Short-Term Treasury Index Fund Institutional Shares,92206C201,VSBIX,12/20/2023,12/21/2023,12/22/2023,0.081600,,
2023-12-31,Vanguard Short-Term Treasury Index Fund Admiral Shares,92206C300,VSBSX,12/20/2023,12/21/2023,12/22/2023,0.064700,,
2023-12-31,Vanguard Intermediate-Term Treasury Index Fund Institutional Shares,92206C805,VIIGX,12/20/2023,12/21/2023,12/22/2023,0.070100,,
2023-12-31,Vanguard Intermediate-Term Treasury Index Fund Admiral Shares,92206C888,VSIGX,12/20/2023,12/21/2023,12/22/2023,0.056200,,
2023-12-31,Vanguard Long-Term Treasury Index Fund Institutional Shares,92206C839,VLGIX,12/20/2023,12/21/2023,12/22/2023,0.080900,,
2023-12-31,Vanguard Long-Term Treasury Index Fund Admiral Shares,92206C821,VLGSX,12/20/2023,12/21/2023,12/22/2023,0.063500,,
2023-12-31,Vanguard Short-Term Corporate Bond Index Fund Institutional Shares,92206C508,VSTBX,12/20/2023,12/21/2023,12/22/2023,0.077000,,
