as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2023-12-31,Vanguard Intermediate-Term Bond ETF,921937819,BIV,12/28/2023,12/28/2023,12/28/2023,0.224877,,
2023-12-31,Vanguard Intermediate-Term Bond ETF,921937819,BIV,12/6/2023,12/6/2023,12/6/2023,0.212720,,
2023-12-31,Vanguard Long-Term Bond ETF,921937793,BLV,12/28/2023,12/28/2023,12/28/2023,0.261698,,
2023-12-31,Vanguard Long-Term Bond ETF,921937793,BLV,12/6/2023,12/6/2023,12/6/2023,0.255516,,
2023-12-31,Vanguard Total Bond Market ETF,921937835,BND,12/28/2023,12/28/2023,12/28/2023,0.210541,,
2023-12-31,Vanguard Total Bond Market ETF,921937835,BND,12/6/2023,12/6/2023,12/6/2023,0.200957,,
2023-12-31,Vanguard Short-Term Bond ETF,921937827,BSV,12/28/2023,12/28/2023,12/28/2023,0.194959,,
2023-12-31,Vanguard Short-Term Bond ETF,921937827,BSV,12/6/2023,12/6/2023,12/6/2023,0.185304,,
2023-12-31,Vanguard Intermediate-Term Bond Index Fund Investor Shares,921937306,VBIIX,12/1/2023,12/1/2023,12/1/2023,0.028225,,
2023-12-31,Vanguard Intermediate-Term Bond Index Fund Admiral Shares,921937801,VBILX,12/1/2023,12/1/2023,12/1/2023,0.028873,,
2023-12-31,Vanguard Intermediate-Term Bond Index Fund Institutional Shares,921937884,VBIMX,12/1/2023,12/1/2023,12/1/2023,0.029035,,
2023-12-31,Vanguard Short-Term Bond Index Fund Institutional Plus Shares,921937769,VBIPX,12/1/2023,12/1/2023,12/1/2023,0.024031,,
2023-12-31,Vanguard Short-Term Bond Index Fund Admiral Shares,921937702,VBIRX,12/1/2023,12/1/2023,12/1/2023,0.023787,,
2023-12-31,Vanguard Short-Term Bond Index Fund Investor Shares,921937207,VBISX,12/1/2023,12/1/2023,12/1/2023,0.023136,,
2023-12-31,Vanguard Short-Term Bond Index Fund Institutional Shares,921937777,VBITX,12/1/2023,12/1/2023,12/1/2023,0.023950,,
2023-12-31,Vanguard Intermediate-Term Bond Index Fund Institutional Plus Shares,921937751,VBIUX,12/1/2023,12/1/2023,12/1/2023,0.029116,,
2023-12-31,Vanguard Long-Term Bond Index Fund Admiral Shares,921937652,VBLAX,12/1/2023,12/1/2023,12/1/2023,0.038682,,
2023-12-31,Vanguard Long-Term Bond Index Fund Institutional Plus Shares,921937744,VBLIX,12/1/2023,12/1/2023,12/1/2023,0.038943,,
2023-12-31,Vanguard Total Bond Market Index Fund Investor Shares,921937108,VBMFX,12/1/2023,12/1/2023,12/1/2023,0.025762,,
2023-12-31,Vanguard Total Bond Market Index Fund Institutional Plus Shares,921937785,VBMPX,12/1/2023,12/1/2023,12/1/2023,0.026673,,
2023-12-31,Vanguard Total Bond Market Index Fund Institutional Shares,921937504,VBTIX,4/3/2023,4/3/2023,4/3/2023,0.024227,,
2023-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Admiral Shares,922021407,VCADX,12/1/2023,12/1/2023,12/1/2023,0.025841,,
2023-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Investor Shares,922021308,VCAIX,12/1/2023,12/1/2023,12/1/2023,0.025118,,
2023-12-31,Vanguard California Long-Term Tax-Exempt Fund Investor Shares,922021100,VCITX,12/1/2023,12/1/2023,12/1/2023,0.030173,,
2023-12-31,Vanguard California Long-Term Tax-Exempt Fund Admiral Shares,922021506,VCLAX,3/1/2023,3/1/2023,3/1/2023,0.029218,,
2023-12-31,Vanguard Intermediate-Term Investment-Grade Fund Investor Shares,922031885,VFICX,12/1/2023,12/1/2023,12/1/2023,0.029299,,
2023-12-31,Vanguard Intermediate-Term Investment-Grade Fund Admiral Shares,922031810,VFIDX,12/1/2023,12/1/2023,12/1/2023,0.029972,,
2023-12-31,Vanguard GNMA Fund Investor Shares,922031307,VFIIX,12/1/2023,12/1/2023,12/1/2023,0.025847,,
2023-12-31,Vanguard GNMA Fund Admiral Shares,922031794,VFIJX,12/1/2023,12/1/2023,12/1/2023,0.026574,,
2023-12-31,Vanguard Short-Term Treasury Fund Admiral Shares,922031851,VFIRX,9/1/2023,9/1/2023,9/1/2023,0.035085,,
2023-12-31,Vanguard Short-Term Treasury Fund Investor Shares,922031703,VFISX,12/1/2023,12/1/2023,12/1/2023,0.034439,,
2023-12-31,Vanguard Intermediate-Term Treasury Fund Admiral Shares,922031828,VFIUX,12/1/2023,12/1/2023,12/1/2023,0.031020,,
2023-12-31,Vanguard Short-Term Investment-Grade Fund Institutional Shares,922031877,VFSIX,12/1/2023,12/1/2023,12/1/2023,0.030309,,
2023-12-31,Vanguard Short-Term Investment-Grade Fund Investor Shares,922031406,VFSTX,12/1/2023,12/1/2023,12/1/2023,0.029238,,
2023-12-31,Vanguard Short-Term Investment-Grade Fund Admiral Shares,922031836,VFSUX,12/1/2023,12/1/2023,12/1/2023,0.030058,,
2023-12-31,Vanguard Ohio Long-Term Tax-Exempt Fund,921929204,VOHIX,12/1/2023,12/1/2023,12/1/2023,0.031096,,
2023-12-31,Vanguard Short-Term Federal Fund Investor Shares,922031604,VSGBX,10/2/2023,10/2/2023,10/2/2023,0.029847,,
2023-12-31,Vanguard Total Bond Market Index Fund Institutional Select Shares,921937660,VTBSX,12/1/2023,12/1/2023,12/1/2023,0.026825,,
2023-12-31,Vanguard Long-Term Treasury Fund Investor Shares,922031505,VUSTX,12/1/2023,12/1/2023,12/1/2023,0.024779,,
2023-12-31,Vanguard Long-Term Treasury Fund Admiral Shares,922031786,VUSUX,12/1/2023,12/1/2023,12/1/2023,0.025428,,
2023-12-31,Vanguard Treasury Money Market Fund,921932109,VUSXX,12/1/2023,12/1/2023,12/1/2023,0.004384,,
2023-12-31,Vanguard High-Yield Tax-Exempt Fund Investor Shares,922907407,VWAHX,12/1/2023,12/1/2023,12/1/2023,0.032627,,
2023-12-31,Vanguard High-Yield Tax-Exempt Fund Admiral Shares,922907845,VWALX,12/1/2023,12/1/2023,12/1/2023,0.033287,,
2023-12-31,Vanguard High-Yield Corporate Fund Admiral Shares,922031760,VWEAX,12/1/2023,12/1/2023,12/1/2023,0.026791,,
2023-12-31,Vanguard High-Yield Corporate Fund Investor Shares,922031208,VWEHX,12/1/2023,12/1/2023,12/1/2023,0.026365,,
2023-12-31,Vanguard Long-Term Investment-Grade Fund Investor Shares,922031109,VWESX,12/1/2023,12/1/2023,12/1/2023,0.031238,,
2023-12-31,Vanguard Long-Term Investment-Grade Fund Admiral Shares,922031778,VWETX,12/1/2023,12/1/2023,12/1/2023,0.031843,,
2023-12-31,Vanguard Intermediate-Term Tax-Exempt Fund Admiral Shares,922907878,VWIUX,12/1/2023,12/1/2023,12/1/2023,0.033483,,
2023-12-31,Vanguard Long-Term Tax-Exempt Fund Investor Shares,922907308,VWLTX,12/1/2023,12/1/2023,12/1/2023,0.029718,,
2023-12-31,Vanguard Long-Term Tax-Exempt Fund Admiral Shares,922907860,VWLUX,12/1/2023,12/1/2023,12/1/2023,0.030398,,
