as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Vanguard Developed Markets Index Fund Investor Shares,92206J107,VDVIX,12/19/2024,12/20/2024,12/23/2024,0.173900,,
2024-12-31,Vanguard Developed Markets Index Fund Institutional Plus Shares,92206J206,VDIPX,12/19/2024,12/20/2024,12/23/2024,0.359200,,
2024-12-31,Vanguard Target Retirement 2025 Fund,92202E409,VTTVX,12/27/2024,12/30/2024,12/31/2024,0.553200,0.016363,0.857349
2024-12-31,Vanguard Target Retirement 2035 Fund,92202E508,VTTHX,12/27/2024,12/30/2024,12/31/2024,0.619700,,0.128409
2024-12-31,Vanguard Target Retirement 2045 Fund,92202E607,VTIVX,12/27/2024,12/30/2024,12/31/2024,0.684400,,0.016020
2024-12-31,Vanguard Target Retirement Income Fund,92202E102,VTINX,12/27/2024,12/30/2024,12/31/2024,0.166900,0.015420,0.331058
2024-12-31,Vanguard Market Neutral Fund Investor Shares,92205G104,VMNFX,12/27/2024,12/30/2024,12/31/2024,0.736900,,
2024-12-31,Vanguard Market Neutral Fund Institutional Shares,92205G203,VMNIX,12/27/2024,12/30/2024,12/31/2024,0.741000,,
2024-12-31,Vanguard Target Retirement 2020 Fund,92202E805,VTWNX,12/27/2024,12/30/2024,12/31/2024,0.843700,0.028493,1.602738
2024-12-31,Vanguard Target Retirement 2030 Fund,92202E888,VTHRX,12/27/2024,12/30/2024,12/31/2024,1.036200,0.016504,0.323626
2024-12-31,Vanguard Target Retirement 2040 Fund,92202E870,VFORX,12/27/2024,12/30/2024,12/31/2024,1.054500,0.005455,0.085423
2024-12-31,Vanguard Target Retirement 2050 Fund,92202E862,VFIFX,12/27/2024,12/30/2024,12/31/2024,1.092400,,0.015914
2024-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/2/2024,12/2/2024,12/4/2024,0.207800,,
2024-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/24/2024,12/24/2024,12/27/2024,0.209500,,
2024-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/2/2024,12/2/2024,12/4/2024,0.291200,,
2024-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/24/2024,12/24/2024,12/27/2024,0.309700,,
2024-12-31,Vanguard Total International Bond Index Fund Admiral Shares,92203J308,VTABX,12/20/2024,12/23/2024,12/24/2024,0.405500,,
2024-12-31,Vanguard Total International Bond Index Fund Investor Shares,92203J100,VTIBX,12/20/2024,12/23/2024,12/24/2024,0.202800,,
2024-12-31,Vanguard Total International Bond Index Fund Institutional Shares,92203J209,VTIFX,12/20/2024,12/23/2024,12/24/2024,0.609300,,
2024-12-31,Vanguard Target Retirement 2055 Fund,92202E847,VFFVX,12/27/2024,12/30/2024,12/31/2024,1.204600,0.002173,0.038191
2024-12-31,Vanguard Short-Term Treasury Index Fund Institutional Shares,92206C201,VSBIX,12/20/2024,12/23/2024,12/24/2024,0.084000,,
2024-12-31,Vanguard Short-Term Treasury Index Fund Admiral Shares,92206C300,VSBSX,12/20/2024,12/23/2024,12/24/2024,0.066500,,
2024-12-31,Vanguard Intermediate-Term Treasury Index Fund Institutional Shares,92206C805,VIIGX,12/20/2024,12/23/2024,12/24/2024,0.079600,,
2024-12-31,Vanguard Intermediate-Term Treasury Index Fund Admiral Shares,92206C888,VSIGX,12/20/2024,12/23/2024,12/24/2024,0.063800,,
2024-12-31,Vanguard Long-Term Treasury Index Fund Institutional Shares,92206C839,VLGIX,12/20/2024,12/23/2024,12/24/2024,0.088400,,
2024-12-31,Vanguard Long-Term Treasury Index Fund Admiral Shares,92206C821,VLGSX,12/20/2024,12/23/2024,12/24/2024,0.069400,,
2024-12-31,Vanguard Short-Term Corporate Bond Index Fund Institutional Shares,92206C508,VSTBX,12/20/2024,12/23/2024,12/24/2024,0.093100,,
2024-12-31,Vanguard Short-Term Corporate Bond Index Fund Admiral Shares,92206C607,VSCSX,12/20/2024,12/23/2024,12/24/2024,0.075800,,
2024-12-31,Vanguard Intermediate-Term Corporate Bond Index Fund Institutional Share,92206C862,VICBX,12/20/2024,12/23/2024,12/24/2024,0.103800,,
2024-12-31,Vanguard Intermediate-Term Corporate Bond Index Fund Admiral Shares,92206C854,VICSX,12/20/2024,12/23/2024,12/24/2024,0.083800,,
2024-12-31,Vanguard Long-Term Corporate Bond Index Fund Institutional Shares,92206C797,VLCIX,12/20/2024,12/23/2024,12/24/2024,0.118600,,
2024-12-31,Vanguard Long-Term Corporate Bond Index Fund Admiral Shares,92206C789,VLTCX,12/20/2024,12/23/2024,12/24/2024,0.095400,,
2024-12-31,Vanguard Long-Term Corporate Bond ETF,92206C813,VCLT,12/2/2024,12/2/2024,12/4/2024,0.326700,,
2024-12-31,Vanguard Long-Term Corporate Bond ETF,92206C813,VCLT,12/24/2024,12/24/2024,12/27/2024,0.356300,,
2024-12-31,Vanguard Mortgage-Backed Securities Index Fund Institutional Shares,92206C763,VMBIX,12/20/2024,12/23/2024,12/24/2024,0.082300,,
2024-12-31,Vanguard Mortgage-Backed Securities Index Fund Admiral Shares,92206C755,VMBSX,12/20/2024,12/23/2024,12/24/2024,0.060500,,
2024-12-31,Vanguard Explorer Value Fund,92206C748,VEVFX,12/17/2024,12/18/2024,12/19/2024,0.771200,0.629812,4.851148
2024-12-31,Vanguard Target Retirement 2060 Fund,92202E839,VTTSX,12/27/2024,12/30/2024,12/31/2024,1.095500,0.006243,0.025622
2024-12-31,Vanguard Target Retirement 2065 Fund,92202E680,VLXVX,12/27/2024,12/30/2024,12/31/2024,0.696400,0.005517,0.007615
2024-12-31,Vanguard Russell 1000 Index Fund Institutional Shares,92206C722,VRNIX,12/20/2024,12/23/2024,12/24/2024,1.654100,,
2024-12-31,Vanguard Russell 1000 ETF,92206C730,VONE,12/23/2024,12/23/2024,12/26/2024,0.847700,,
2024-12-31,Vanguard Russell 1000 Value Index Fund Institutional Shares,92206C698,VRVIX,12/20/2024,12/23/2024,12/24/2024,1.713800,,
2024-12-31,Vanguard Russell 1000 Growth Index Fund Institutional Shares,92206C672,VRGWX,12/20/2024,12/23/2024,12/24/2024,1.076500,,
2024-12-31,Vanguard Russell 2000 Index Fund Institutional Shares,92206C656,VRTIX,12/20/2024,12/23/2024,12/24/2024,1.283700,,
2024-12-31,Vanguard Russell 2000 ETF,92206C664,VTWO,12/23/2024,12/23/2024,12/26/2024,0.331400,,
2024-12-31,Vanguard Russell 2000 Value Index Fund Institutional Shares,92206C631,VRTVX,12/20/2024,12/23/2024,12/24/2024,1.671400,,
2024-12-31,Vanguard Russell 2000 Value ETF,92206C649,VTWV,12/23/2024,12/23/2024,12/26/2024,0.823100,,
2024-12-31,Vanguard Russell 2000 Growth Index Fund Institutional Shares,92206C615,VRTGX,12/20/2024,12/23/2024,12/24/2024,0.839700,,
2024-12-31,Vanguard Russell 2000 Growth ETF,92206C623,VTWG,12/23/2024,12/23/2024,12/26/2024,0.406900,,
2024-12-31,Vanguard Russell 3000 Index Fund Institutional Shares,92206C581,VRTTX,12/20/2024,12/23/2024,12/24/2024,1.681700,,
2024-12-31,Vanguard Russell 3000 ETF,92206C599,VTHR,12/23/2024,12/23/2024,12/26/2024,0.861200,,
2024-12-31,Vanguard Target Retirement 2070 Fund,92202E664,VSVNX,12/27/2024,12/30/2024,12/31/2024,0.478100,0.000283,0.000409
2024-12-31,Vanguard Global Credit Bond Fund Admiral Shares,92203J852,VGCAX,12/20/2024,12/23/2024,12/24/2024,0.299100,,
2024-12-31,Vanguard Global Credit Bond Fund Investor Shares,92203J860,VGCIX,12/20/2024,12/23/2024,12/24/2024,0.147300,,
2024-12-31,Vanguard Total International Bond II Index Fund Institutional Shares,92211J308,VTILX,12/20/2024,12/23/2024,12/24/2024,0.586700,,
2024-12-31,Vanguard Total International Bond II Index Fund Investor Shares,92211J100,VTIIX,12/20/2024,12/23/2024,12/24/2024,0.197400,,
2024-12-31,Vanguard Energy Index Fund Admiral Shares,92204A843,VENAX,12/17/2024,12/18/2024,12/19/2024,0.482600,,
2024-12-31,Vanguard Materials Index Fund Admiral Shares,92204A785,VMIAX,12/17/2024,12/18/2024,12/19/2024,0.436800,,
2024-12-31,Vanguard Industrials Index Fund Admiral Shares,92204A819,VINAX,12/17/2024,12/18/2024,12/19/2024,0.496700,,
2024-12-31,Vanguard Consumer Discretionary Index Fund Admiral Shares,92204A868,VCDAX,12/17/2024,12/18/2024,12/19/2024,0.341500,,
2024-12-31,Vanguard Consumer Staples Index Fund Admiral Shares,92204A850,VCSAX,12/17/2024,12/18/2024,12/19/2024,0.595200,,
2024-12-31,Vanguard Health Care Index Fund Admiral Shares,92204A827,VHCIX,12/17/2024,12/18/2024,12/19/2024,0.459500,,
2024-12-31,Vanguard Financials Index Fund Admiral Shares,92204A835,VFAIX,12/17/2024,12/18/2024,12/19/2024,0.329300,,
2024-12-31,Vanguard Information Technology Index Fund Admiral Shares,92204A793,VITAX,12/17/2024,12/18/2024,12/19/2024,0.397600,,
2024-12-31,Vanguard Communication Services Index Fund Admiral Shares,92204A777,VTCAX,12/17/2024,12/18/2024,12/19/2024,0.234600,,
2024-12-31,Vanguard Utilities Index Fund Admiral Shares,92204A769,VUIAX,12/17/2024,12/18/2024,12/19/2024,0.639700,,
2024-12-31,Vanguard Baillie Gifford Global Positive Impact Stock Fund,92205M408,VBPIX,12/27/2024,12/30/2024,12/31/2024,0.019600,,
