as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2021-12-31,Vanguard 500 Index Fund Admiral Shares,922908710,VFIAX,12/17/2021,12/20/2021,12/21/2021,1.535100,,
2021-12-31,Vanguard Balanced Index Fund Admiral Shares,921931200,VBIAX,12/28/2021,12/29/2021,12/30/2021,0.179900,0.033300,0.670900
2021-12-31,Vanguard Growth Index Fund Admiral Shares,922908660,VIGAX,12/22/2021,12/23/2021,12/27/2021,0.237500,,
2021-12-31,Vanguard Total Stock Market Index Fund Admiral Shares,922908728,VTSAX,12/22/2021,12/23/2021,12/27/2021,0.415200,,
2021-12-31,Vanguard Total International Stock Index Fund Admiral Shares,921909818,VTIAX,12/16/2021,12/17/2021,12/20/2021,0.501800,,
2021-12-31,Vanguard S&P 500 ETF,922908363,VOO,12/22/2021,12/21/2021,12/27/2021,1.532900,,
2021-12-31,Vanguard Total Stock Market ETF,922908769,VTI,12/28/2021,12/27/2021,12/30/2021,0.859200,,
2021-12-31,Vanguard Total International Stock ETF,921909768,VXUS,12/21/2021,12/20/2021,12/23/2021,0.941200,,
2021-12-31,Vanguard FTSE Developed Markets ETF,921943858,VEA,12/21/2021,12/20/2021,12/23/2021,0.769300,,
2021-12-31,Vanguard FTSE Emerging Markets ETF,922042858,VWO,12/21/2021,12/20/2021,12/23/2021,0.478000,,
2021-12-31,Vanguard Growth ETF,922908736,VUG,12/28/2021,12/27/2021,12/30/2021,0.469000,,
2021-12-31,Vanguard Dividend Appreciation ETF,921908844,VIG,12/21/2021,12/20/2021,12/23/2021,0.772500,,
2021-12-31,Vanguard High Dividend Yield ETF,921946406,VYM,12/21/2021,12/20/2021,12/23/2021,0.938600,,
2021-12-31,Vanguard Large-Cap ETF,922908637,VV,12/28/2021,12/27/2021,12/30/2021,0.755900,,
2021-12-31,Vanguard Mid-Cap ETF,922908629,VO,12/28/2021,12/27/2021,12/30/2021,0.920300,,
2021-12-31,Vanguard Small-Cap ETF,922908751,VB,12/28/2021,12/27/2021,12/30/2021,1.090800,,
2021-12-31,Vanguard Value ETF,922908744,VTV,12/28/2021,12/27/2021,12/30/2021,0.903100,,
2021-12-31,Vanguard Value Index Fund Admiral Shares,922908678,VVIAX,12/22/2021,12/23/2021,12/27/2021,0.350900,,
2021-12-31,Vanguard Wellington Fund Admiral Shares,921935201,VWENX,12/28/2021,12/29/2021,12/30/2021,0.411400,1.174400,4.539500
2021-12-31,Vanguard Windsor II Fund Admiral Shares,922018304,VWNAX,12/17/2021,12/20/2021,12/21/2021,0.550100,0.934500,4.513100
2021-12-31,Vanguard Mid-Cap Index Fund Admiral Shares,922908645,VIMAX,12/22/2021,12/23/2021,12/27/2021,1.131500,,
2021-12-31,Vanguard Small-Cap Index Fund Admiral Shares,922908686,VSMAX,12/22/2021,12/23/2021,12/27/2021,0.522500,,
2021-12-31,Vanguard Large-Cap Index Fund Admiral Shares,922908579,VLCAX,12/22/2021,12/23/2021,12/27/2021,0.379000,,
2021-12-31,Vanguard FTSE All-World ex-US Index Fund Admiral,921937736,VFWAX,12/16/2021,12/17/2021,12/20/2021,0.520600,,
2021-12-31,Vanguard Emerging Markets Stock Index Fund Admiral Shares,922042841,VEMAX,12/16/2021,12/17/2021,12/20/2021,0.388800,,
2021-12-31,Vanguard PRIMECAP Fund Admiral Shares,921936209,VPMAX,12/17/2021,12/20/2021,12/21/2021,1.342500,0.638300,15.264000
