as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Invesco Active Allocation Fund Class Y,00900R812,OAAYX,12/18/2024,12/19/2024,12/19/2024,0.336,0.1188,0.3674
2024-12-31,Invesco Select Risk: Conservative Investor Fund,00900R770,OACIX,12/18/2024,12/19/2024,12/19/2024,0.373,,
2024-12-31,Invesco Select Risk: Moderate Investor Fund,00900R648,OAMIX,12/18/2024,12/19/2024,12/19/2024,0.3926,,
2024-12-31,Invesco Rising Dividends Fund,00141B584,OARDX,12/11/2024,12/12/2024,12/12/2024,0.0814,0.1194,2.77
2024-12-31,Invesco California Municipal Fund Class C,00141W208,OCACX,,12/31/2024,12/31/2024,0.00010062,,
2024-12-31,Invesco Select Risk: High Growth Investor Fund Class C,00900R697,OCAIX,12/18/2024,12/19/2024,12/19/2024,0.1891,0.1176,0.3986
2024-12-31,Invesco California Municipal Fund Class Y,00141W307,OCAYX,,12/31/2024,12/31/2024,0.00013399,,
2024-12-31,Invesco Select Risk: Conservative Investor Fund Class C,00900R762,OCCIX,12/18/2024,12/19/2024,12/19/2024,0.2995,,
2024-12-31,Invesco Select Risk: Moderate Investor Fund Class C,00900R630,OCMIX,12/18/2024,12/19/2024,12/19/2024,0.3017,,
2024-12-31,Invesco Rising Dividends Fund Class C,00141B576,OCRDX,12/11/2024,12/12/2024,12/12/2024,0.0219,0.1194,2.77
2024-12-31,Invesco Discovery Fund Class C,00141G658,ODICX,12/13/2024,12/16/2024,12/16/2024,,,6.616
2024-12-31,Invesco Discovery Fund Class R6,00141G641,ODIIX,12/13/2024,12/16/2024,12/16/2024,,,6.616
2024-12-31,Invesco Discovery Fund Class R,00141G633,ODINX,12/13/2024,12/16/2024,12/16/2024,,,6.616
2024-12-31,Invesco Discovery Fund Class Y,00141G625,ODIYX,12/13/2024,12/16/2024,12/16/2024,,,6.616
2024-12-31,Invesco Developing Markets Fund,00143W701,ODMAX,12/11/2024,12/12/2024,12/12/2024,0.0021,,
2024-12-31,Invesco Developing Markets Fund Class R6,00143W859,ODVIX,12/11/2024,12/12/2024,12/12/2024,0.1585,,
2024-12-31,Invesco Developing Markets Fund Class Y,00143W875,ODVYX,12/11/2024,12/12/2024,12/12/2024,0.0995,,
2024-12-31,Invesco Discovery Mid Cap Growth Fund,00143W842,OEGAX,12/11/2024,12/12/2024,12/12/2024,,,1.3819
2024-12-31,Invesco Discovery Mid Cap Growth Fund Class C,00143W834,OEGCX,12/11/2024,12/12/2024,12/12/2024,,,1.3819
2024-12-31,Invesco Discovery Mid Cap Growth Fund Class R6,00143W784,OEGIX,12/11/2024,12/12/2024,12/12/2024,,,1.3819
2024-12-31,Invesco Discovery Mid Cap Growth Fund Class R,00143W826,OEGNX,12/11/2024,12/12/2024,12/12/2024,,,1.3819
2024-12-31,Invesco Discovery Mid Cap Growth Fund Class Y,00143W818,OEGYX,12/11/2024,12/12/2024,12/12/2024,,,1.3819
2024-12-31,Invesco Emerging Markets Local Debt Fund,00143K871,OEMAX,,12/31/2024,12/31/2024,0.0284,,
2024-12-31,Invesco Emerging Markets Local Debt Fund Class C,00143K863,OEMCX,,12/31/2024,12/31/2024,0.0251,,
2024-12-31,Invesco Emerging Markets Local Debt Fund Class R6,00143K822,OEMIX,,12/31/2024,12/31/2024,0.0295,,
2024-12-31,Invesco Emerging Markets Local Debt Fund Class R,00143K848,OEMNX,,12/31/2024,12/31/2024,0.0273,,
2024-12-31,Invesco Emerging Markets Local Debt Fund Class Y,00143K855,OEMYX,,12/31/2024,12/31/2024,0.0295,,
2024-12-31,Invesco Intermediate Bond Factor Fund,001421312,OFIAX,,12/31/2024,12/31/2024,0.0481,,
2024-12-31,Invesco Intermediate Bond Factor Fund Class C,001421296,OFICX,,12/31/2024,12/31/2024,0.0423,,
2024-12-31,Invesco Intermediate Bond Factor Fund Class R6,001421254,OFIIX,,12/31/2024,12/31/2024,0.05,,
2024-12-31,Invesco Intermediate Bond Factor Fund Class R,001421270,OFINX,,12/31/2024,12/31/2024,0.0461,,
2024-12-31,Invesco Intermediate Bond Factor Fund Class Y,001421288,OFIYX,,12/31/2024,12/31/2024,0.0499,,
2024-12-31,Invesco Global Opportunities Fund Class R6,00900W753,OGIIX,12/13/2024,12/16/2024,12/16/2024,0.2144,,
2024-12-31,Invesco Global Opportunities Fund Class Y,00900W738,OGIYX,12/13/2024,12/16/2024,12/16/2024,0.1379,,
2024-12-31,Invesco Global Fund Class C,00900W209,OGLCX,12/11/2024,12/12/2024,12/12/2024,,,11.1733
2024-12-31,Invesco Global Fund Class R6,00900W308,OGLIX,12/11/2024,12/12/2024,12/12/2024,,,11.1733
2024-12-31,Invesco Global Fund Class R,00900W407,OGLNX,12/11/2024,12/12/2024,12/12/2024,,,11.1733
