as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Invesco S&P International Developed Momentum ETF,46138E222,IDMO,12/20/2022,12/19/2022,12/23/2022,0.12088,,
2022-12-31,Invesco Real Assets ESG ETF,46090A788,IVRA,12/20/2022,12/19/2022,12/23/2022,0.03904,,
2022-12-31,Invesco S&P 500 BuyWrite ETF,46137V399,PBP,12/20/2022,12/19/2022,12/23/2022,0.06487,,
2022-12-31,Invesco India ETF,46137R109,PIN,12/20/2022,12/19/2022,12/23/2022,,,2.99469
2022-12-31,Invesco S&P SmallCap Industrials ETF,46138E123,PSCI,12/20/2022,12/19/2022,12/23/2022,0.27857,,
