as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Janus Henderson Research Fund,471023317,JRAAX,12/19/2022,12/20/2022,12/20/2022,,,0.11421
2022-12-31,Janus Henderson Global Life Sciences Fund,471023481,JFNAX,12/19/2022,12/20/2022,12/20/2022,0.04944890,,
2022-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A104,JCAAX,12/28/2022,12/29/2022,12/29/2022,0.03682328,,0.18128
2022-12-31,Janus Henderson Global Allocation Fund – Growth,47103A500,JGCAX,12/28/2022,12/29/2022,12/29/2022,0.10034982,,0.40727
2022-12-31,Janus Henderson Forty Fund,47103A674,JDCAX,12/19/2022,12/20/2022,12/20/2022,,,0.02107
2022-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A732,JRSAX,12/21/2022,12/22/2022,12/22/2022,0.15387721,,0.06105
2022-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A880,JMOAX,12/28/2022,12/29/2022,12/29/2022,0.05777776,,0.23011
2022-12-31,Janus Henderson Small Cap Value Fund,47103C217,JDSAX,12/21/2022,12/22/2022,12/22/2022,,,0.94582
2022-12-31,Janus Henderson Mid Cap Value Fund,47103C266,JDPAX,12/21/2022,12/22/2022,12/22/2022,0.13903920,,0.76973
2022-12-31,Janus Henderson Global Research Fund,47103C324,JDWAX,12/19/2022,12/20/2022,12/20/2022,0.52088338,,2.78484
2022-12-31,Janus Henderson Triton Fund,47103C373,JGMAX,12/19/2022,12/20/2022,12/20/2022,,,1.52076
2022-12-31,Janus Henderson Overseas Fund,47103C480,JDIAX,12/19/2022,12/20/2022,12/20/2022,0.53903290,,
2022-12-31,Janus Henderson Global Select Fund,47103C548,JORAX,12/19/2022,12/20/2022,12/20/2022,0.10955200,,0.28871
2022-12-31,Janus Henderson Enterprise Fund,47103C829,JDMAX,12/19/2022,12/20/2022,12/20/2022,,,12.57266
2022-12-31,Janus Henderson Contrarian Fund,47103C878,JCNAX,12/19/2022,12/20/2022,12/20/2022,0.06167276,,
2022-12-31,Janus Henderson Adaptive Global Allocation Fund,47103D272,JAGAX,12/28/2022,12/29/2022,12/29/2022,0.08025391,,
2022-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E239,JVSAX,12/21/2022,12/22/2022,12/22/2022,0.03583296,,
2022-12-31,Janus Henderson Venture Fund,47103E429,JVTAX,12/19/2022,12/20/2022,12/20/2022,,,3.13825
2022-12-31,Janus Henderson International Opportunities Fund,47103X310,HFOAX,12/19/2022,12/20/2022,12/20/2022,,,0.85718
2022-12-31,Janus Henderson European Focus Fund,47103X641,HFEAX,12/19/2022,12/20/2022,12/20/2022,0.92104430,,
2022-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y615,JEASX,12/19/2022,12/20/2022,12/20/2022,0.02291358,,
2022-12-31,Janus Henderson Research Fund,471023291,JRACX,12/19/2022,12/20/2022,12/20/2022,,,0.11421
2022-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A203,JCACX,12/28/2022,12/29/2022,12/29/2022,,,0.18128
2022-12-31,Janus Henderson Global Allocation Fund – Growth,47103A609,JGCCX,12/28/2022,12/29/2022,12/29/2022,,,0.40727
2022-12-31,Janus Henderson Forty Fund,47103A666,JACCX,12/19/2022,12/20/2022,12/20/2022,,,0.02107
2022-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A724,JRSCX,12/21/2022,12/22/2022,12/22/2022,0.10027776,,0.06105
2022-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A872,JMOCX,12/28/2022,12/29/2022,12/29/2022,,,0.23011
2022-12-31,Janus Henderson Small Cap Value Fund,47103C191,JCSCX,12/21/2022,12/22/2022,12/22/2022,,,0.94582
2022-12-31,Janus Henderson Mid Cap Value Fund,47103C258,JMVCX,12/21/2022,12/22/2022,12/22/2022,0.04383515,,0.76973
2022-12-31,Janus Henderson Global Research Fund,47103C316,JWWCX,12/19/2022,12/20/2022,12/20/2022,,,2.78484
2022-12-31,Janus Henderson Triton Fund,47103C365,JGMCX,12/19/2022,12/20/2022,12/20/2022,,,1.52076
2022-12-31,Janus Henderson Overseas Fund,47103C472,JIGCX,12/19/2022,12/20/2022,12/20/2022,0.38560420,,
