as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Janus Henderson Global Select Fund,47103E783,JANRX,12/4/2025,12/5/2025,12/5/2025,0.10175613,,1.96978
2025-12-31,Janus Henderson Global Technology and Innovation Fund,47103E866,JNGTX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson European Focus Fund,47103X625,HFEDX,12/4/2025,12/5/2025,12/5/2025,0.8111397,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y581,JEDTX,12/4/2025,12/5/2025,12/5/2025,0.01550089,,0.23327
2025-12-31,Janus Henderson Research Fund,471023283,JRAIX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Global Technology and Innovation Fund,471023333,JATIX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Global Life Sciences Fund,471023465,JFNIX,12/4/2025,12/5/2025,12/5/2025,0.37879634,,3.33123
2025-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A302,JCAIX,12/29/2025,12/30/2025,12/30/2025,0.29727118,,
2025-12-31,Janus Henderson Forty Fund,47103A658,JCAPX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Global Allocation Fund – Growth,47103A708,JGCIX,12/29/2025,12/30/2025,12/30/2025,0.2097885,0.0501598,0.70911
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A716,JRSIX,12/8/2025,12/9/2025,12/9/2025,0.07557663,0.10922852,1.04456
2025-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A864,JMOIX,12/29/2025,12/30/2025,12/30/2025,0.25519698,0.04132569,0.49832
2025-12-31,Janus Henderson Small Cap Value Fund,47103C183,JSCOX,12/8/2025,12/9/2025,12/9/2025,0.10218922,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,47103C241,JMVAX,12/8/2025,12/9/2025,12/9/2025,0.1315689,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103C290,JWWFX,12/4/2025,12/5/2025,12/5/2025,0.73869761,,9.14685
2025-12-31,Janus Henderson Triton Fund,47103C357,JSMGX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Overseas Fund,47103C464,JIGFX,12/4/2025,12/5/2025,12/5/2025,0.74166538,,
2025-12-31,Janus Henderson Global Select Fund,47103C522,JORFX,12/4/2025,12/5/2025,12/5/2025,0.10754657,,1.96978
2025-12-31,Janus Henderson Enterprise Fund,47103C795,JMGRX,12/4/2025,12/5/2025,12/5/2025,0.28852108,0.26481705,10.10415
2025-12-31,Janus Henderson Contrarian Fund,47103C852,JCONX,12/4/2025,12/5/2025,12/5/2025,0.06989582,,2.91191
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E197,JVSIX,12/8/2025,12/9/2025,12/9/2025,0.05423735,,1.35946
2025-12-31,Janus Henderson Venture Fund,47103E395,JVTIX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson European Focus Fund,47103X617,HFEIX,12/4/2025,12/5/2025,12/5/2025,0.81714572,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y573,JEUIX,12/4/2025,12/5/2025,12/5/2025,0.00437399,,0.23327
2025-12-31,Janus Henderson Small Cap Value Fund,471023564,JSIVX,12/8/2025,12/9/2025,12/9/2025,0.15458925,,0.83836
2025-12-31,Janus Henderson Global Technology and Innovation Fund,47103D181,JATNX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Contrarian Fund,47103D207,JCNNX,12/4/2025,12/5/2025,12/5/2025,0.09205623,,2.91191
2025-12-31,Janus Henderson Enterprise Fund,47103D405,JDMNX,12/4/2025,12/5/2025,12/5/2025,0.39207039,0.26481705,10.10415
2025-12-31,Janus Henderson Forty Fund,47103D603,JFRNX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Small Cap Value Fund,47103D728,JDSNX,12/8/2025,12/9/2025,12/9/2025,0.16069952,,0.83836
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103D736,JVSNX,12/8/2025,12/9/2025,12/9/2025,0.08496397,,1.35946
2025-12-31,Janus Henderson Mid Cap Value Fund,47103D744,JDPNX,12/8/2025,12/9/2025,12/9/2025,0.14866055,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103D777,JDWNX,12/4/2025,12/5/2025,12/5/2025,0.80159238,,9.14685
2025-12-31,Janus Henderson Venture Fund,47103D785,JVTNX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson Triton Fund,47103D793,JGMNX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Research Fund,47103D827,JRANX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Overseas Fund,47103D835,JDINX,12/4/2025,12/5/2025,12/5/2025,0.80538014,,
2025-12-31,Janus Henderson Global Select Fund,47103D876,JSLNX,12/4/2025,12/5/2025,12/5/2025,0.12115946,,1.96978
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103E122,JRSNX,12/8/2025,12/9/2025,12/9/2025,0.08938531,0.10922852,1.04456
2025-12-31,Janus Henderson European Focus Fund,47103X591,HFERX,12/4/2025,12/5/2025,12/5/2025,0.84615391,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y565,JETNX,12/4/2025,12/5/2025,12/5/2025,0.03075924,,0.23327
2025-12-31,Janus Henderson Global Life Sciences Fund,47103Y631,JFNNX,12/4/2025,12/5/2025,12/5/2025,0.43390085,,3.33123
2025-12-31,Janus Henderson Forty Fund,47103A641,JDCRX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Small Cap Value Fund,47103C175,JDSRX,12/8/2025,12/9/2025,12/9/2025,,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,47103C233,JDPRX,12/8/2025,12/9/2025,12/9/2025,0.02359209,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103C282,JDWRX,12/4/2025,12/5/2025,12/5/2025,0.20198779,,9.14685
2025-12-31,Janus Henderson Triton Fund,47103C340,JGMRX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Overseas Fund,47103C456,JDIRX,12/4/2025,12/5/2025,12/5/2025,0.39544708,,
2025-12-31,Janus Henderson Global Select Fund,47103C514,JORRX,12/4/2025,12/5/2025,12/5/2025,0.07085303,,1.96978
2025-12-31,Janus Henderson Enterprise Fund,47103C787,JDMRX,12/4/2025,12/5/2025,12/5/2025,,0.26481705,10.10415
2025-12-31,Janus Henderson Contrarian Fund,47103C845,JCNRX,12/4/2025,12/5/2025,12/5/2025,,,2.91191
2025-12-31,Janus Henderson Research Fund,47103D173,JRARX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y532,JEGRX,12/4/2025,12/5/2025,12/5/2025,0.00319074,,0.23327
2025-12-31,Janus Henderson Research Fund,471023275,JRASX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Global Technology and Innovation Fund,471023325,JATSX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Global Life Sciences Fund,471023457,JFNSX,12/4/2025,12/5/2025,12/5/2025,0.1766252,,3.33123
2025-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A401,JCASX,12/29/2025,12/30/2025,12/30/2025,0.25293799,,
2025-12-31,Janus Henderson Forty Fund,47103A633,JARTX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
