as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-07-28,Janus Henderson Emerging Markets Fund,47103X757,HEMAX,7/25/2025,7/28/2025,7/28/2025,0.00131188,,
2025-07-28,Janus Henderson Emerging Markets Fund,47103X732,HEMDX,7/25/2025,7/28/2025,7/28/2025,0.11851697,,
2025-07-28,Janus Henderson Emerging Markets Fund,47103X724,HEMIX,7/25/2025,7/28/2025,7/28/2025,0.04811006,,
2025-07-28,Janus Henderson Emerging Markets Fund,47103X716,HEMRX,7/25/2025,7/28/2025,7/28/2025,0.06465014,,
2025-07-28,Janus Henderson Emerging Markets Fund,47103X666,HEMTX,7/25/2025,7/28/2025,7/28/2025,0.00260587,,
