as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Janus Henderson Research Fund,471023317,JRAAX,12/5/2024,12/6/2024,12/6/2024,,0.15806685,4.17636
2024-12-31,Janus Henderson Global Technology and Innovation Fund,471023358,JATAX,12/5/2024,12/6/2024,12/6/2024,,0.54630955,6.7255
2024-12-31,Janus Henderson Global Life Sciences Fund,471023481,JFNAX,12/5/2024,12/6/2024,12/6/2024,0.08801543,1.59554888,2.11904
2024-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A104,JCAAX,12/27/2024,12/30/2024,12/30/2024,0.23540455,,
2024-12-31,Janus Henderson Global Allocation Fund – Growth,47103A500,JGCAX,12/27/2024,12/30/2024,12/30/2024,0.25519424,0.01091462,0.89874
2024-12-31,Janus Henderson Forty Fund,47103A674,JDCAX,12/5/2024,12/6/2024,12/6/2024,,0.19019347,5.46939
2024-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A732,JRSAX,12/9/2024,12/10/2024,12/10/2024,0.1075843,0.1342288,0.18632
2024-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A880,JMOAX,12/27/2024,12/30/2024,12/30/2024,0.36397371,0.01649822,0.12122
2024-12-31,Janus Henderson Small Cap Value Fun,47103C217,JDSAX,12/9/2024,12/10/2024,12/10/2024,0.29165682,,2.23818
2024-12-31,Janus Henderson Mid Cap Value Fund,47103C266,JDPAX,12/9/2024,12/10/2024,12/10/2024,0.08708291,0.02023901,1.43568
2024-12-31,Janus Henderson Global Research Fund,47103C324,JDWAX,12/5/2024,12/6/2024,12/6/2024,0.64965758,0.28775698,7.90682
2024-12-31,Janus Henderson Triton Fund,47103C373,JGMAX,12/5/2024,12/6/2024,12/6/2024,,0.09187589,1.93042
2024-12-31,Janus Henderson Overseas Fund,47103C480,JDIAX,12/5/2024,12/6/2024,12/6/2024,0.62028938,,
2024-12-31,Janus Henderson Global Select Fund,47103C548,JORAX,12/5/2024,12/6/2024,12/6/2024,0.17581157,0.19188363,1.4645
2024-12-31,Janus Henderson Enterprise Fund,47103C829,JDMAX,12/5/2024,12/6/2024,12/6/2024,1.11489249,0.04293631,8.3094
2024-12-31,Janus Henderson Contrarian Fund,47103C878,JCNAX,12/5/2024,12/6/2024,12/6/2024,0.05933342,0.20787923,2.85407
2024-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E239,JVSAX,12/9/2024,12/10/2024,12/10/2024,0.04615237,0.33616391,0.82751
2024-12-31,Janus Henderson Venture Fund,47103E429,JVTAX,12/5/2024,12/6/2024,12/6/2024,,,5.89084
2024-12-31,Janus Henderson European Focus Fund,47103X641,HFEAX,12/5/2024,12/6/2024,12/6/2024,0.64604939,,
2024-12-31,Janus Henderson Emerging Markets Fund,47103X757,HEMAX,12/5/2024,12/6/2024,12/6/2024,0.01270509,,
2024-12-31,Janus Henderson Research Fund,471023291,JRACX,12/5/2024,12/6/2024,12/6/2024,,0.15806685,4.17636
2024-12-31,Janus Henderson Global Technology and Innovation Fund,471023341,JAGCX,12/5/2024,12/6/2024,12/6/2024,,0.54630955,6.7255
2024-12-31,Janus Henderson Global Life Sciences Fund,471023473,JFNCX,12/5/2024,12/6/2024,12/6/2024,,1.59554888,2.11904
2024-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A203,JCACX,12/27/2024,12/30/2024,12/30/2024,0.05711322,,
2024-12-31,Janus Henderson Global Allocation Fund – Growth,47103A609,JGCCX,12/27/2024,12/30/2024,12/30/2024,0.14745748,0.01091462,0.89874
2024-12-31,Janus Henderson Forty Fund,47103A666,JACCX,12/5/2024,12/6/2024,12/6/2024,,0.19019347,5.46939
2024-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A724,JRSCX,12/9/2024,12/10/2024,12/10/2024,,0.1342288,0.18632
2024-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A872,JMOCX,12/27/2024,12/30/2024,12/30/2024,0.25089489,0.01649822,0.12122
2024-12-31,Janus Henderson Small Cap Value Fund,47103C191,JCSCX,12/9/2024,12/10/2024,12/10/2024,0.20204248,,2.23818
2024-12-31,Janus Henderson Mid Cap Value Fund,47103C258,JMVCX,12/9/2024,12/10/2024,12/10/2024,,0.02023901,1.43568
2024-12-31,Janus Henderson Global Research Fund,47103C316,JWWCX,12/5/2024,12/6/2024,12/6/2024,,0.28775698,7.90682
2024-12-31,Janus Henderson Triton Fund,47103C365,JGMCX,12/5/2024,12/6/2024,12/6/2024,,0.09187589,1.93042
2024-12-31,Janus Henderson Overseas Fund,47103C472,JIGCX,12/5/2024,12/6/2024,12/6/2024,0.20939886,,
2024-12-31,Janus Henderson Global Select Fund,47103C530,JORCX,12/5/2024,12/6/2024,12/6/2024,0.04700063,0.19188363,1.4645
2024-12-31,Janus Henderson Enterprise Fund,47103C811,JGRCX,12/5/2024,12/6/2024,12/6/2024,0.3433145,0.04293631,8.3094
2024-12-31,Janus Henderson Contrarian Fund,47103C860,JCNCX,12/5/2024,12/6/2024,12/6/2024,,0.20787923,2.85407
2024-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E221,JVSCX,12/9/2024,12/10/2024,12/10/2024,,0.33616391,0.82751
2024-12-31,Janus Henderson Venture Fun,47103E411,JVTCX,12/5/2024,12/6/2024,12/6/2024,,,5.89084
2024-12-31,Janus Henderson European Focus Fund,47103X633,HFECX,12/5/2024,12/6/2024,12/6/2024,0.20158595,,
2024-12-31,Janus Henderson Forty Fund,47103D199,JFRDX,12/5/2024,12/6/2024,12/6/2024,0.06459236,0.19019347,5.46939
2024-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103D314,JRSDX,12/9/2024,12/10/2024,12/10/2024,0.13912474,0.1342288,0.18632
2024-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E213,JSVDX,12/9/2024,12/10/2024,12/10/2024,0.08579618,0.33616391,0.82751
2024-12-31,Janus Henderson Contrarian Fund,47103E304,JACNX,12/5/2024,12/6/2024,12/6/2024,0.13148205,0.20787923,2.85407
2024-12-31,Janus Henderson Enterprise Fund,47103E403,JANEX,12/5/2024,12/6/2024,12/6/2024,1.53595094,0.04293631,8.3094
2024-12-31,Janus Henderson Small Cap Value Fund,47103E643,JNPSX,12/9/2024,12/10/2024,12/10/2024,0.32587538,,2.23818
2024-12-31,Janus Henderson Mid Cap Value Fund,47103E650,JNMCX,12/9/2024,12/10/2024,12/10/2024,0.13430103,0.02023901,1.43568
2024-12-31,Janus Henderson Global Research Fund,47103E668,JANWX,12/5/2024,12/6/2024,12/6/2024,0.87062131,0.28775698,7.90682
2024-12-31,Janus Henderson Venture Fund,47103E676,JANVX,12/5/2024,12/6/2024,12/6/2024,,,5.89084
2024-12-31,Janus Henderson Triton Fund,47103E692,JANIX,12/5/2024,12/6/2024,12/6/2024,,0.09187589,1.93042
2024-12-31,Janus Henderson Global Life Sciences Fund,47103E700,JNGLX,12/5/2024,12/6/2024,12/6/2024,0.24813993,1.59554888,2.11904
2024-12-31,Janus Henderson Global Allocation Fund – Moderate,47103E718,JNSMX,12/27/2024,12/30/2024,12/30/2024,0.38718268,0.01649822,0.12122
2024-12-31,Janus Henderson Global Allocation Fund – Growth,47103E726,JNSGX,12/27/2024,12/30/2024,12/30/2024,0.2817872,0.01091462,0.89874
2024-12-31,Janus Henderson Global Allocation Fund – Conservative,47103E734,JMSCX,12/27/2024,12/30/2024,12/30/2024,0.2785324,,
2024-12-31,Janus Henderson Research Fund,47103E759,JNRFX,12/5/2024,12/6/2024,12/6/2024,,0.15806685,4.17636
2024-12-31,Janus Henderson Overseas Fund,47103E775,JNOSX,12/5/2024,12/6/2024,12/6/2024,0.7458675,,
2024-12-31,Janus Henderson Global Select Fund,47103E783,JANRX,12/5/2024,12/6/2024,12/6/2024,0.21670602,0.19188363,1.4645
2024-12-31,Janus Henderson Global Technology and Innovation Fund,47103E866,JNGTX,12/5/2024,12/6/2024,12/6/2024,,0.54630955,6.7255
2024-12-31,Janus Henderson European Focus Fund,47103X625,HFEDX,12/5/2024,12/6/2024,12/6/2024,0.74173135,,
2024-12-31,Janus Henderson Emerging Markets Fund,47103X732,HEMDX,12/5/2024,12/6/2024,12/6/2024,0.02509517,,
2024-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y581,JEDTX,12/5/2024,12/6/2024,12/6/2024,0.02666934,,
2024-12-31,Janus Henderson Research Fund,471023283,JRAIX,12/5/2024,12/6/2024,12/6/2024,,0.15806685,4.17636
2024-12-31,Janus Henderson Global Technology and Innovation Fund,471023333,JATIX,12/5/2024,12/6/2024,12/6/2024,,0.54630955,6.7255
2024-12-31,Janus Henderson Global Life Sciences Fund,471023465,JFNIX,12/5/2024,12/6/2024,12/6/2024,0.28510338,1.59554888,2.11904
2024-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A302,JCAIX,12/27/2024,12/30/2024,12/30/2024,0.28358009,,
