as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2023-12-31,Janus Henderson Research Fund,471023317,JRAAX,12/6/2023,12/7/2023,12/7/2023,,,1.8962
2023-12-31,Janus Henderson Global Technology and Innovation Fund,471023358,JATAX,12/6/2023,12/7/2023,12/7/2023,,,0.4038
2023-12-31,Janus Henderson Global Life Sciences Fund,471023481,JFNAX,12/6/2023,12/7/2023,12/7/2023,0.01657292,,2.85171
2023-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A104,JCAAX,12/27/2023,12/28/2023,12/28/2023,0.17393752,,
2023-12-31,Janus Henderson Global Allocation Fund – Growth,47103A500,JGCAX,12/27/2023,12/28/2023,12/28/2023,0.16265551,,
2023-12-31,Janus Henderson Forty Fund,47103A674,JDCAX,12/6/2023,12/7/2023,12/7/2023,0.00605521,0.00061399,3.88875
2023-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A732,JRSAX,12/8/2023,12/11/2023,12/11/2023,0.04476049,,0.31564
2023-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A880,JMOAX,12/27/2023,12/28/2023,12/28/2023,0.15803557,,
2023-12-31,Janus Henderson Small Cap Value Fund,47103C217,JDSAX,12/8/2023,12/11/2023,12/11/2023,0.10082288,,1.04153
2023-12-31,Janus Henderson Mid Cap Value Fund,47103C266,JDPAX,12/8/2023,12/11/2023,12/11/2023,0.14074288,,1.24686
2023-12-31,Janus Henderson Global Research Fund,47103C324,JDWAX,12/6/2023,12/7/2023,12/7/2023,0.62456506,,3.83992
2023-12-31,Janus Henderson Triton Fund,47103C373,JGMAX,12/6/2023,12/7/2023,12/7/2023,,,1.85381
2023-12-31,Janus Henderson Overseas Fund,47103C480,JDIAX,12/6/2023,12/7/2023,12/7/2023,0.60799152,,
2023-12-31,Janus Henderson Global Select Fund,47103C548,JORAX,12/6/2023,12/7/2023,12/7/2023,0.16024934,0.06121758,1.205
2023-12-31,Janus Henderson Enterprise Fund,47103C829,JDMAX,12/6/2023,12/7/2023,12/7/2023,,,9.83348
2023-12-31,Janus Henderson Contrarian Fund,47103C878,JCNAX,12/6/2023,12/7/2023,12/7/2023,0.08126595,,1.70786
2023-12-31,Janus Henderson Adaptive Global Allocation Fund,47103D272,JAGAX,12/27/2023,12/28/2023,12/28/2023,0.37649801,,
2023-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E239,JVSAX,12/8/2023,12/11/2023,12/11/2023,0.09790499,,
2023-12-31,Janus Henderson Venture Fund,47103E429,JVTAX,12/6/2023,12/7/2023,12/7/2023,,,4.07932
2023-12-31,Janus Henderson European Focus Fund,47103X641,HFEAX,12/6/2023,12/7/2023,12/7/2023,0.96700758,,
2023-12-31,Janus Henderson Emerging Markets Fund,47103X757,HEMAX,12/6/2023,12/7/2023,12/7/2023,0.02438945,,
2023-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y615,JEASX,12/6/2023,12/7/2023,12/7/2023,0.01352413,,
2023-12-31,Janus Henderson Research Fund,471023291,JRACX,12/6/2023,12/7/2023,12/7/2023,,,1.8962
2023-12-31,Janus Henderson Global Technology and Innovation Fund,471023341,JAGCX,12/6/2023,12/7/2023,12/7/2023,,,0.4038
2023-12-31,Janus Henderson Global Life Sciences Fund,471023473,JFNCX,12/6/2023,12/7/2023,12/7/2023,,,2.85171
2023-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A203,JCACX,12/27/2023,12/28/2023,12/28/2023,0.10607069,,
2023-12-31,Janus Henderson Global Allocation Fund – Growth,47103A609,JGCCX,12/27/2023,12/28/2023,12/28/2023,0.06929022,,
